provider,hospital_or_region,service_description,price_low_rands,price_high_rands,year,source_url,delivery_type,ward_type,notes
Independent,Eastern Cape / Free State,Total maternity cost NVD,45000,70000,2025,https://www.pmbcare.co.za/private-hospital-birth-costs-south-africa-2025/,NVD,All,Smaller centres
Independent,Eastern Cape / Free State,Total maternity cost CS,70000,95000,2025,https://www.pmbcare.co.za/private-hospital-birth-costs-south-africa-2025/,CS,All,Smaller centres
Independent,Gauteng,Total maternity cost NVD,55000,80000,2025,https://www.pmbcare.co.za/private-hospital-birth-costs-south-africa-2025/,NVD,All,Independent hospitals
Independent,Gauteng,Total maternity cost CS,85000,115000,2025,https://www.pmbcare.co.za/private-hospital-birth-costs-south-africa-2025/,CS,All,Independent hospitals
National Average,National,Total maternity cost NVD (with specialist fees),55000,85000,2025,https://www.pmbcare.co.za/private-hospital-birth-costs-south-africa-2025/,NVD,All,National average
National Average,National,Total maternity cost CS (with specialist fees),85000,130000,2025,https://www.pmbcare.co.za/private-hospital-birth-costs-south-africa-2025/,CS,All,National average
National Average,National,Average total NVD,68000,68000,2025,https://www.pmbcare.co.za/private-hospital-birth-costs-south-africa-2025/,NVD,All,Single average figure
National Average,National,Average total CS,102000,102000,2025,https://www.pmbcare.co.za/private-hospital-birth-costs-south-africa-2025/,CS,All,Single average figure
National Average,National,Hospital facility only NVD,25000,45000,2025,https://www.pmbcare.co.za/private-hospital-birth-costs-south-africa-2025/,NVD,All,Excl professional fees
National Average,National,Hospital facility only CS,45000,85000,2025,https://www.pmbcare.co.za/private-hospital-birth-costs-south-africa-2025/,CS,All,Excl professional fees
